,area,perimeter,,equi_diameter,average_rect,,aspect_ratio,rectangularity,circularity,compactness,,color_mean,color_std,contrast,correlation,inverse_difference_moments,entropy
0,121464.0,1541.6753115653992,0,393,2020,1,1.4353562005277045,1.69742475136666,19.567631284086403,0.6422019319517185,2,534,135,6.444494567152589,0.9982435521010963,0.9029058772401851,6.477964054145203
0,62699.0,1162.1706960201263,0,282,1862,1,0.685785536159601,1.7587999808609387,21.541662972103303,0.5833519274084255,2,559,104,4.280459297228353,0.9980808570531906,0.9172703438745767,6.2044685283807555
0,133231.0,1682.0428433418274,0,411,2187,1,1.3379310344827586,1.9002334291568779,21.235809435022325,0.5917537851716911,2,542,133,5.653435905475754,0.9984207344051256,0.8773596019255923,6.823364691315131
0,72428.0,1201.4255321025848,0,303,1837,1,1.3174603174603174,1.804895896614569,19.9290786600207,0.6305545192898606,2,562,108,5.3000772822070354,0.9977723400230464,0.9079213339711247,6.191733116685928
0,79775.0,1216.6559792757034,0,318,1815,1,1.6200716845878136,1.58079598871827,18.555334025789044,0.6772376394245375,2,553,113,4.790593581171766,0.9981367684448761,0.9180044730609429,6.014348103500455
0,117400.0,1546.8468823432922,0,386,2109,1,1.285012285012285,1.8131260647359455,20.381050063161524,0.6165713040012948,2,545,127,6.075855694942417,0.9981106311463637,0.8886028661666007,6.444221106090982
0,173177.5,1807.3149188756943,0,469,2233,1,1.4940898345153664,1.5437109324248242,18.86149884361801,0.6662445396597493,2,523,143,6.29928173548042,0.9984725694422637,0.8646503692460922,6.991039960198124
0,227527.0,1871.01340341568,0,538,2257,1,1.138996138996139,1.3432251996466353,15.385827421629635,0.816749744423441,2,511,165,10.77602076451796,0.9979923313731862,0.8209000688812045,7.720235656654306
0,344478.0,2719.468371629715,0,662,2793,1,1.290633608815427,1.9747618135265532,21.46873885790783,0.5853334328360166,2,504,200,14.326240414786575,0.9981894189684677,0.7649275416764202,7.749735499897616
0,180256.5,1947.363688468933,0,479,2292,1,1.1570093457943926,1.8371875632778845,21.037939464969796,0.5973194587465847,2,526,150,7.76459315500139,0.9982619494661673,0.8562884828747958,6.932085878267539
